Week,Days,Employees,Customer
1,7,3,42
2,4,5,20
3,1,5,20
4,7,4,84
5,4,5,80
6,4,4,64
7,2,2,16
8,5,5,100
9,1,5,15
10,5,5,50
11,5,3,45
12,2,4,32
13,4,1,8
14,6,1,12
15,6,4,72
16,6,2,24
17,5,2,30
18,1,1,3
19,7,3,84
20,3,2,24
21,1,5,15
22,1,1,3
23,3,3,9
24,3,4,36
25,4,2,32
26,7,2,42
27,4,1,4
28,7,5,70
29,6,4,24
30,6,3,18
31,3,4,24
32,5,4,80
33,4,5,60
34,4,3,36
35,4,4,16
36,3,4,24
37,4,4,16
38,1,1,1
39,7,1,28
40,2,4,24
41,5,3,30
42,4,5,80
43,4,4,64
44,7,1,28
45,4,2,24
46,5,2,10
47,2,1,6
48,7,2,42
49,3,5,45
50,7,5,140
51,2,2,12
52,4,1,12
53,3,4,24
54,1,1,4
55,6,1,24
56,7,2,42
57,5,2,30
58,2,5,30
59,3,1,9
60,5,1,10
61,4,3,12
62,5,4,80
63,1,5,15
64,1,4,16
65,6,3,72
66,2,1,8
67,5,3,15
68,6,3,72
69,2,2,8
70,1,1,1
71,4,1,4
72,6,2,24
73,7,2,28
74,6,2,48
75,6,3,18
76,7,2,56
77,7,3,63
78,1,5,15
79,4,2,16
80,7,1,21
81,3,5,15
82,2,4,16
83,4,1,16
84,4,4,32
85,7,4,112
86,7,3,21
87,6,3,18
88,6,3,18
89,5,1,15
90,4,1,8
91,2,3,24
92,3,1,9
93,7,1,14
94,1,4,12
95,6,3,54
96,1,1,3
97,5,4,40
98,1,3,6
99,3,3,36
100,5,2,20
